source,target,value,class
Layer1.Cluster1,Layer2.Cluster1,35,Class1
Layer1.Cluster3,Layer2.Cluster1,35,Class1
Layer1.Cluster0,Layer2.Cluster0,20,Class2
Layer1.Cluster0,Layer2.Cluster1,1,Class2
Layer1.Cluster0,Layer2.Cluster2,13,Class2
Layer1.Cluster0,Layer2.Cluster3,13,Class2
Layer1.Cluster2,Layer2.Cluster0,20,Class2
Layer1.Cluster2,Layer2.Cluster1,1,Class2
Layer1.Cluster2,Layer2.Cluster2,13,Class2
Layer1.Cluster2,Layer2.Cluster3,13,Class2
Layer1.Cluster3,Layer2.Cluster0,20,Class2
Layer1.Cluster3,Layer2.Cluster1,1,Class2
Layer1.Cluster3,Layer2.Cluster2,13,Class2
Layer1.Cluster3,Layer2.Cluster3,13,Class2
Layer1.Cluster1,Layer2.Cluster1,19,Class3
Layer1.Cluster1,Layer2.Cluster3,31,Class3
Layer1.Cluster3,Layer2.Cluster1,19,Class3
Layer1.Cluster3,Layer2.Cluster3,31,Class3
Layer2.Cluster1,Layer3.Cluster1,35,Class1
Layer2.Cluster0,Layer3.Cluster0,17,Class2
Layer2.Cluster0,Layer3.Cluster1,1,Class2
Layer2.Cluster0,Layer3.Cluster2,12,Class2
Layer2.Cluster0,Layer3.Cluster3,17,Class2
Layer2.Cluster1,Layer3.Cluster0,17,Class2
Layer2.Cluster1,Layer3.Cluster1,1,Class2
Layer2.Cluster1,Layer3.Cluster2,12,Class2
Layer2.Cluster1,Layer3.Cluster3,17,Class2
Layer2.Cluster2,Layer3.Cluster0,17,Class2
Layer2.Cluster2,Layer3.Cluster1,1,Class2
Layer2.Cluster2,Layer3.Cluster2,12,Class2
Layer2.Cluster2,Layer3.Cluster3,17,Class2
Layer2.Cluster3,Layer3.Cluster0,17,Class2
Layer2.Cluster3,Layer3.Cluster1,1,Class2
Layer2.Cluster3,Layer3.Cluster2,12,Class2
Layer2.Cluster3,Layer3.Cluster3,17,Class2
Layer2.Cluster1,Layer3.Cluster0,27,Class3
Layer2.Cluster1,Layer3.Cluster2,21,Class3
Layer2.Cluster1,Layer3.Cluster3,2,Class3
Layer2.Cluster3,Layer3.Cluster0,27,Class3
Layer2.Cluster3,Layer3.Cluster2,21,Class3
Layer2.Cluster3,Layer3.Cluster3,2,Class3
